"BusinessEntityID","PersonType","Title","FirstName","MiddleName","LastName","Suffix","EmailAddress","PhoneNumber"
1,EM,,Ken,J,Sánchez,,ken0@adventure-works.com,"697-555-0142"
5,EM,Ms.,Gail,A,Erickson,,gail0@adventure-works.com,"849-555-0139"
7,EM,,Dylan,A,Miller,,dylan0@adventure-works.com,"181-555-0156"
9,EM,,Gigi,N,Matthew,,gigi0@adventure-works.com,"185-555-0186"
13,EM,Ms.,Janice,M,Galvin,,janice0@adventure-works.com,"473-555-0117"
31,EM,,Margie,W,Shoop,,margie0@adventure-works.com,"818-555-0128"
46,EM,,Eugene,O,Kogan,,eugene1@adventure-works.com,"173-555-0179"
48,EM,,Ruth,Ann,Ellerbrock,,ruth0@adventure-works.com,"145-555-0130"
51,EM,,Jeffrey,L,Ford,,jeffrey0@adventure-works.com,"984-555-0185"
52,EM,,Doris,M,Hartwig,,doris0@adventure-works.com,"328-555-0150"
53,EM,,Diane,R,Glimp,,diane0@adventure-works.com,"202-555-0151"
55,EM,,Taylor,R,Maxwell,,taylor0@adventure-works.com,"508-555-0165"
56,EM,,Denise,H,Smith,,denise0@adventure-works.com,"869-555-0119"
66,EM,,Karan,R,Khanna,,karan0@adventure-works.com,"447-555-0186"
70,EM,,David,J,Ortiz,,david2@adventure-works.com,"712-555-0119"
73,EM,,Carole,M,Poland,,carole0@adventure-works.com,"688-555-0192"
78,EM,,Reuben,H,D'sa,,reuben0@adventure-works.com,"191-555-0112"
84,EM,,Frank,R,Martinez,,frank3@adventure-works.com,"203-555-0196"
86,EM,,Ryan,L,Cornelsen,,ryan0@adventure-works.com,"208-555-0114"
89,EM,,Patrick,C,Wedge,,patrick0@adventure-works.com,"413-555-0124"
113,EM,,Linda,K,Moschell,,linda0@adventure-works.com,"612-555-0171"
120,EM,,Kitti,H,Lertpiriyasuwat,,kitti0@adventure-works.com,"785-555-0132"
127,EM,,David,P,Hamilton,,david4@adventure-works.com,"986-555-0177"
159,EM,,Terrence,W,Earls,,terrence0@adventure-works.com,"110-555-0115"
165,EM,,Chris,T,Preston,,chris0@adventure-works.com,"200-555-0112"
167,EM,,David,N,Johnson,,david1@adventure-works.com,"166-555-0162"
182,EM,,Nitin,S,Mirchandani,,nitin0@adventure-works.com,"143-555-0173"
186,EM,,Shane,S,Kim,,shane0@adventure-works.com,"810-555-0178"
201,EM,,Brian,T,Lloyd,,brian0@adventure-works.com,"110-555-0182"
204,EM,,Gabe,B,Mares,,gabe0@adventure-works.com,"310-555-0117"
205,EM,,Lori,A,Kane,,lori0@adventure-works.com,"289-555-0196"
207,EM,,Greg,F,Alderson,,greg0@adventure-works.com,"332-555-0150"
223,EM,,Sairaj,L,Uddin,,sairaj0@adventure-works.com,"500-555-0159"
229,EM,,Lori,K,Penor,,lori1@adventure-works.com,"295-555-0161"
238,EM,,Vidur,X,Luthra,,vidur0@adventure-works.com,"153-555-0186"
254,EM,,Fukiko,J,Ogisu,,fukiko0@adventure-works.com,"520-555-0177"
264,EM,,Stephanie,A,Conroy,,stephanie0@adventure-works.com,"594-555-0110"
265,EM,,Ashvini,R,Sharma,,ashvini0@adventure-works.com,"656-555-0119"
269,EM,,Dan,K,Bacon,Jr.,dan0@adventure-works.com,"166-555-0159"
270,EM,,François,P,Ajenstat,,françois0@adventure-works.com,"785-555-0110"
274,SP,,Stephen,Y,Jiang,,stephen0@adventure-works.com,"238-555-0197"
295,SC,Ms.,Kim,,Abercrombie,,kim2@adventure-works.com,"334-555-0137"
301,SC,Ms.,Frances,B.,Adams,,frances0@adventure-works.com,"991-555-0183"
305,SC,Ms.,Carla,J.,Adams,,carla0@adventure-works.com,"107-555-0138"
323,SC,Ms.,Amy,E.,Alberts,,amy1@adventure-works.com,"727-555-0115"
339,SC,Ms.,Phyllis,A.,Allen,,phyllis0@adventure-works.com,"695-555-0111"
365,SC,Ms.,Kyley,J.,Arbelaez,,kyley0@adventure-works.com,"717-555-0131"
371,SC,Mr.,John,,Arthur,,john6@adventure-works.com,"149-555-0113"
